bird_id,colony_id,colony_name,country,flyway,breeding_lat,breeding_lon,years_tracked,tag_type,data_source
CH_BIE_011,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_012,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BIE_013,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_014,CH_BIE,Biel,Switzerland,western,47.14,7.25,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_015,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_BIE_016,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_017,CH_BIE,Biel,Switzerland,western,47.14,7.25,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BIE_018,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_019,CH_BIE,Biel,Switzerland,western,47.14,7.25,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_BIE_020,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_021,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_BIE_022,CH_BIE,Biel,Switzerland,western,47.14,7.25,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_001,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_002,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_003,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_004,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_005,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_006,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_007,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_008,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_009,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LAU_010,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LAU_011,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_012,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_013,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_014,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_015,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_016,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LAU_017,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LAU_018,CH_LAU,Lausanne,Switzerland,western,46.52,6.63,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_001,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LEN_002,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LEN_003,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LEN_004,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LEN_005,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_006,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LEN_007,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_008,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LEN_009,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_010,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_011,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LEN_012,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_013,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LEN_014,CH_LEN,Lenzburg,Switzerland,western,47.39,8.18,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_001,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_002,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_003,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_004,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_005,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_006,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_007,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_008,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_009,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_010,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_011,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_012,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_013,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_LUZ_014,CH_LUZ,Luzern,Switzerland,western,47.06,8.31,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_001,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_SOL_002,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_SOL_003,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_SOL_004,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_005,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
CH_SOL_006,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_007,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_SOL_008,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_SOL_009,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_010,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
CH_SOL_011,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_012,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
CH_SOL_013,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
CH_SOL_014,CH_SOL,Solothurn,Switzerland,western,47.21,7.53,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_001,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
BG_SOF_002,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_003,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_004,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_005,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_006,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_007,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_008,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_009,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_010,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_011,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
BG_SOF_012,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_013,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
BG_SOF_014,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_015,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_016,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_017,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_018,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
BG_SOF_019,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_020,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_021,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_022,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_023,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
BG_SOF_024,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_025,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
BG_SOF_026,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
BG_SOF_027,BG_SOF,Sofia,Bulgaria,eastern,42.66,23.36,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_001,ES_TAR,Tarragona,Spain,western,41.12,1.25,2015,GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_002,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_003,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_004,ES_TAR,Tarragona,Spain,western,41.12,1.25,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_005,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
ES_TAR_006,ES_TAR,Tarragona,Spain,western,41.12,1.25,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_007,ES_TAR,Tarragona,Spain,western,41.12,1.25,2015,GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_008,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_009,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_010,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
ES_TAR_011,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
ES_TAR_012,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_013,ES_TAR,Tarragona,Spain,western,41.12,1.25,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
ES_TAR_014,ES_TAR,Tarragona,Spain,western,41.12,1.25,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
ES_TAR_015,ES_TAR,Tarragona,Spain,western,41.12,1.25,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
ES_TAR_016,ES_TAR,Tarragona,Spain,western,41.12,1.25,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
ES_TAR_017,ES_TAR,Tarragona,Spain,western,41.12,1.25,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_001,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_002,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_003,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_004,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_005,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_006,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_007,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_008,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_009,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_010,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_011,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_012,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_013,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_014,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_015,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_016,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_017,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_018,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_019,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_020,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_021,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_022,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_023,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_024,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_025,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_026,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_027,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_028,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_029,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_030,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_031,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2015,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_032,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2015,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_033,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_034,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_035,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_036,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL3pam,synthetic (Meier et al. 2020 calibrated)
TR_PIR_037,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_038,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015,2016",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_039,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2015",GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_040,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2014,GDL2v2,synthetic (Meier et al. 2020 calibrated)
TR_PIR_041,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,2016,GDL1,synthetic (Meier et al. 2020 calibrated)
TR_PIR_042,TR_PIR,Pirasali,Turkey,eastern,36.34,30.53,"2014,2016",GDL1,synthetic (Meier et al. 2020 calibrated)
